Headline Number,Entity,Annotation
1,norscan,B-ORG.COM
1,jan,B-TIM
1,pulp,O
1,stocks,O
1,130000,O
1,tonnes,O
1,-,O
1,source,O
1,.,O
2,shk,B-ORG.COM
2,prop,I-ORG.COM
2,puts,O
2,e.point,O
2,flats,O
2,offer,O
2,.,O
3,french,B-GPE
3,stocks,O
3,close,O
3,slightly,O
3,higher,O
3,.,O
4,india,B-GPE.ORG
4,deregulate,O
4,sugar,O
4,exports,O
4,-,O
4,newspapers,O
4,.,O
5,u.s.,B-GPE.LOC
5,midwest,I-GPE.LOC
5,direct,O
5,hogs,O
5,seen,O
5,$0.50,O
5,-,O
5,$1,O
5,-,O
5,dealers,B-PER.Group
5,.,O
6,brown,B-PER.Individual
6,cuts,O
6,uk,B-GPE.ORG
6,vat,I-LAW
6,fuel,O
6,5,O
6,pct,O
6,september,B-TIM
6,.,O
7,soccer-parma,B-ORG.SPO
7,coach,B-PER.Individual
7,hits,O
7,referees,B-PER.Group
7,.,O
8,swiss,B-GPE.ORG
8,government,I-GPE.ORG
8,ready,O
8,act,O
8,holocaust,B-EVENT
8,fund,O
8,.,O
9,u.s.,B-GPE.ORG
9,cftc,I-GPE.ORG
9,backs,O
9,easing,O
9,exchange,O
9,rule,O
9,reviews,O
9,.,O
10,press,O
10,digest,O
10,-,O
10,zambia,B-GPE.ORG
10,-,O
10,july,B-TIM
10,4,I-TIM
10,.,O
11,russian,B-GPE.ORG
11,minfins,I-GPE.ORG
11,rise,O
11,derivatives,O
11,issue,O
11,news,O
11,.,O
12,water,O
12,company,O
12,issue,O
12,40,O
12,mln,O
12,kroons,O
12,cps,O
12,.,O
13,soccer,O
13,showcase-betting,O
13,celtic,B-ORG.SPO
13,v,O
13,rangers,B-ORG.SPO
13,.,O
14,press,O
14,digest,O
14,-,O
14,jordan,B-GPE
14,-,O
14,may,B-TIM
14,20,I-TIM
14,.,O
15,n.h.,B-GPE.ORG
15,gov,I-GPE.ORG
15,proposes,O
15,tax,O
15,time-shares,O
15,condos,O
15,.,O
16,german,B-GPE
16,zew,I-ORG.NonGov
16,details,O
16,6-mth,B-TIM
16,major,O
16,nations,O
16,forecasts,O
16,.,O
17,u.n.,B-ORG.NonGov
17,council,I-ORG.NonGov
17,threatens,O
17,new,O
17,sanctions,O
17,iraq,B-GPE
17,.,O
18,china,B-GPE.ORG
18,slams,O
18,unesco,B-ORG.NonGov
18,prize,O
18,jailed,O
18,reporter,B-PER.Individual
18,.,O
19,stainless,O
19,prices,O
19,could,O
19,start,O
19,recovering,O
19,-,O
19,analysts,B-PER.Group
19,.,O
20,f.o.licht,O
20,-,O
20,daily,O
20,coffee,O
20,report,O
20,.,O
21,kinkel,B-PER.Individual
21,condemns,O
21,jerusalem,B-GPE
21,attack,O
21,"""cowardly""",O
21,.,O
22,one-month,B-TIM
22,one-year,B-TIM
22,saudi,B-GPE.ORG
22,t-bill,I-LAW
22,rates,O
22,rise,O
22,.,O
23,slovak,B-GPE.ORG
23,reforms,I-LAW
23,depend,O
23,investment,O
23,-,O
23,banker,O
23,.,O
24,press,O
24,digest,O
24,-,O
24,iraq,B-GPE
24,-,O
24,june,B-TIM
24,4,I-TIM
24,.,O
25,hk,B-GPE.ORG
25,govt,I-GPE.ORG
25,expects,O
25,achieve,O
25,housing,O
25,target,O
25,2001,B-TIM
25,.,O
26,zimbabwe,B-GPE.ORG
26,civil,O
26,servants,O
26,return,O
26,work,O
26,.,O
27,german,B-GPE
27,ruhrgas,I-ORG.COM
27,starts,O
27,gas,O
27,supply,O
27,mol,O
27,.,O
28,britain,B-GPE.ORG
28,arranging,O
28,medical,O
28,exam,O
28,nurses,B-PER.Group
28,saudi,B-GPE.LOC
28,.,O
29,petrofina,B-ORG.COM
29,sees,O
29,nyse,B-ORG.NonGov
29,listing,I-EVENT
29,september,B-TIM
29,3,I-TIM
29,.,O
30,ipe,B-ORG.NonGov
30,gas,I-ORG.NonGov
30,oil,I-ORG.NonGov
30,seen,O
30,$1.50,O
30,lower,O
30,brent,O
30,5-10,O
30,cts,O
30,.,O
31,oklahoma,B-GPE.LOC
31,city,I-GPE.LOC
31,bomb,I-EVENT
31,judge,B-PER.Individual
31,bars,O
31,prosecution,B-PER.Group
31,interview,O
31,.,O
32,spain,B-GPE.ORG
32,stability,I-LAW
32,plan,I-LAW
32,-,O
32,psbr,O
32,year,O
32,1997-2000,B-TIM
32,.,O
33,research,O
33,alert-,O
33,isuzu,B-ORG.COM
33,cut,O
33,.,O
34,mexican,B-GPE
34,official's,B-PER.Individual
34,drug,O
34,money,O
34,case,O
34,opens,O
34,texas,B-GPE.LOC
34,.,O
35,rtrs,B-ORG.MED
35,-poll,O
35,shows,O
35,australian,B-GPE.ORG
